source,target,value,count,step
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,2139950000,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,1BvXQCpUC4NADf9oWvnQqedzx7TnY21dot,494108079,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,bc1qc693krdlq7rdd9exa92hwca3p8qgu7g7dv9ht6,201746301,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,other1,288918859,51,1
3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,13oX1mA6zggC5Y5LPVf9YDeykNa4sar7wZ,4500000000,3,1
3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,35kVfHwEejHig8qbP8KVpVweebSSh2oEmU,4499910000,1,1
3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,3CNsNT99LCFyxDHXD5mjM9rR7RHVFJKchE,3605054130,1,1
3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,other1,2226567377,33,1
14zBKD2kL9CpwyJ9xP6ZEYLtZD1czsqejK,138wcGbJZJAWwi1ax1Gwx7yMwtEa9ZS7yh,3917421,1,1
31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,1Ho9wMVEH3UD4mR2gEwLk3sZZozKqiWHfx,601609340,1,1
31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,1HK2x8DrEzeqSe5AxHYTofAXYpCg9aEDqM,378361355,1,1
31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,1HVKaeTWetnqcy9XKLrc548pxNsoFgrHct,61042585,1,1
31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,other1,152515608,27,1
bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,1HY7eosW4bEhaupvrLRHqgJzPyhabAE7aL,748424643,1,1
bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,1Mm8Qnw8sb5wHnjyk6qfpobfPNMaKQ4HzS,121542686,1,1
bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,15EJdemykttAYLGkMKNTQvMucR2NDQaL1x,117995289,1,1
bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,other1,117601345,9,1
other0,12hB9xsunJpg9dmFWf2hCKRpRFCCYPzw4w,9855605,1,1
bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,3JvypLxrZ1uiDwWr5okESdCjRV27oEKF1u,100000000,1,1
bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,16JQeuWPd9zbxyUoQYfxbkJMxyN6BrxX2R,81364120,1,1
bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,1YdphzY4Nkm4MaBy1WUqbsrUCKXatvbQf,20844464,1,1
bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,other1,84152915,15,1
other0,3NcZ4FnHb2vLFdAJma3cA86PNmMA1F3fnK,9033000000,6,1
other0,1DWxttRbd3YLxNYxTcRWKH6zu9kYtFfwcV,34000000,1,1
other0,14ZbdqyyGmjuHWFZGFS8nFKFj2n45QGhPs,6700000,1,1
other0,other1,14250304,5,1
other0,18EGLZaTMzt8yuX94BDx5jBSPTcM88xfdN,2238535,1,1
other0,1GRFJZ5eZZxq3FDDskY2KvuspJtHyHSxRd,2231569,1,1
other0,18b8qTU1QjhmKM6ri9up4Yzw1uqoVio3x4,1013673,1,1
other0,other1,3812351,7,1
other0,12k9LXcH5CWAJ2KYW7pM1cvctdMNgfTxAa,17000000,1,1
