source,target,value,count,step
1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,164BPpajc777yGSAnsPy3b9d6kk7CQvsQE,2184,4,1
1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,1Gw6AaDy3v99FmWqjrK5yFy8omTcm5n9yu,1092,2,1
1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,other1,5460,10,1
other0,other1,130577492,31,1
3GcQRL9h1x57YyyxEo64WR3avCB26deHJR,3Bqi1FVbyzE2dctLif8fVywrKrXrdHrCFY,2869357,1,1
3GcQRL9h1x57YyyxEo64WR3avCB26deHJR,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,1712177,4,1
3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,3CQKjPeQDAYDDkuMT8qM6YTCa1wQotwk9i,8464676,1,1
3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,32iqsrSx44Frnc2oDSmGtKHZuiB5su9n5D,5110320,1,1
3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,367wi8xCrhemX4kwBhN49nQsgJf3Zosato,4915735,1,1
3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,other1,1345408,3,1
3PiXpW4Rs9NufsEd3h5sV3KadPX8HxNsnR,37ZKgNAJcbd7rr8D48ZLwLFWAzyY2gA7mr,2666513,1,1
1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,1Bc6a6W3ysZQgHB929EGhy6snKUmAKbcpz,9275671036,1,1
1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,148ZZoU5DK5Ba4V9zMYTH46JvNjCcX2vSt,6244151458,1,1
1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,1Pvz8QjiVDniP1Sgm9iNfPuYum6T7YpgrY,2999960000,1,1
1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,other1,4195485835,46,1
other0,other1,111656563,20,1
1Gi7scgt19CidGz8ZpHTrtsMUfXLS6Wt8Q,3CT4cRL55Y1uDq3bqjWw3dyZvgUfXwyXyE,23471054,1,1
other0,3LurjWNBjsgpfGUwM64Qe6LdCGxoMwFM19,1006031,1,1
other0,14tawohEigvWdHrrEDbFa6UagBexYzHmBd,14442819,1,1
other0,1JbP7p1LiiqBEfc31FoKc26yDc1vdqfkw3,7999787,1,1
other0,14E2sg9227AT1cFgbbnmgAcPcbK5pUGUem,1006756,1,1
other0,other1,1912186,3,1
other0,12FTSngCryXD7gsCZpZsb2cU93bs2mJdgX,27550000000,12,1
other0,3HA9apMkaELJZkNoZJC7VA5huMWDPoqKCj,18000000000,7,1
other0,3JYT9CEeCZH3PQxXWbp8X5g2UzFPg5scHc,12000000000,4,1
other0,other1,131726530,20,1
other0,1DDhEHwfmZXWZ6gRooDUNaEJF5PxiauaoA,134117540,1,1
other0,33TY3emDnqndewcfi3LexAo4fLRq4YaMmD,34376440,1,1
other0,1M5wecaVEGDenjjsMBNCFc2DKdfVEd4cCq,31714797,1,1
other0,other1,29396512,14,1
other0,1Lnt32vFqwz7WkqS1KXN2xwX2DZ4Nj4j1m,1302145600,1,1
other0,138kWV7M8G1HTnnECrn3Z9cjjVfxWeNf57,1008095,1,1
other0,13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,5986,1,1
other0,1KJy2yvNA24phgpwcWnFZab3sDxRwZLGJG,37821389,1,1
other0,1HX63hMT2gz2kRufAruCxz4zNsaRjhrUf7,15981557,1,1
other0,1426KV89C4HWTPqBTFkWNa1hLqRZYnG3ZN,11090392,1,1
other0,other1,25662814,9,1
other0,3HA9apMkaELJZkNoZJC7VA5huMWDPoqKCj,17000000000,6,1
other0,3JYT9CEeCZH3PQxXWbp8X5g2UzFPg5scHc,11500000000,4,1
other0,12FTSngCryXD7gsCZpZsb2cU93bs2mJdgX,6000000000,5,1
other0,other1,6029872599,19,1
other0,12FTSngCryXD7gsCZpZsb2cU93bs2mJdgX,17600000000,13,1
other0,3HA9apMkaELJZkNoZJC7VA5huMWDPoqKCj,7500000000,5,1
other0,3JYT9CEeCZH3PQxXWbp8X5g2UzFPg5scHc,3000000000,1,1
other0,other1,1372349636,22,1
other0,3EAJ718HKxywv9PCtd61L7aCPwWKAJ4QvD,91387285,1,1
other0,1Dic89MvPWQ3DHqhNWfjU83N8E7tUjk2tG,10421332,1,1
other0,1QBvMR2yuAVdpqbrfgYxpi243TmQocT5Gv,8847304,1,1
other0,other1,10220272,8,1
other0,3GuHeDXSn9pYuVFUNCqcZwYfz5AVY8KfiZ,786553241,1,1
other0,19SQeW6uyYQYuhAQutzDjZUPW6bkoNWFdA,196083511,1,1
other0,14w52VgpoK4d5ich3Tw4CNQXPavxcaqUgV,123609676,1,1
other0,other1,887941160,46,1
other0,3M9nd1Kr9kF1N7prKcr7Aan1UoE9HrRiz9,195400000,1,1
other0,1CP4NEb98C9LNEymngoHe3cSpMp7Emi9gh,130414842,1,1
other0,1Jyk78QLGTi4e1DbYqgBizQujAPskxtsU3,103123484,2,1
other0,other1,223921595,41,1
other0,bc1qdyfk9jk048xep3ta8ukdpce5vqk9y8mjvmwez9,475022041,1,1
other0,1Dv8GTy9BXG9kWnt5jGyJ5TbzYYQW3AMep,11700000,1,1
other0,176gz3TGtBKYsNMzqPE6o5c5ZDmjebJojj,11341139,1,1
other0,other1,56468882,41,1
other0,3MCUmWcjvmVXs92r1yZpUevfKNMFYtJhhv,58708900,1,1
other0,34LxvX15nrj1TW9pnsPC1uLPewoEb6dYrF,4939474,1,1
other0,3LrLWTSdd69oZVVQ6dtWaAAaBLn7N3rRjz,4762504,1,1
other0,other1,2522637,2,1
1ALhm6KGae44bZRGrNoZmursh3mhTMkdDe,1CEtWG6wgfBY9p8c9dqggYx51F5Djt3SeL,4765867,1,1
other0,1475VoVJvnbNhvTSa6RZ6ewgHsWA9EXrKu,2054844,1,1
other0,1Q9PxL45SAnfBSoJxbPz3iKsCihpHDyqAk,567423,1,1
14CmkbrmTYcR58ftWLm5PboNGo8FSRHmtm,1Gfnqk8GN9YpXo2ZKj2cztGueR9SMcZtrk,77364558,1,1
other0,18LfP5fAWUn5pjTkRpn21t1HQVF41xiG2c,3191640,1,1
other0,16LWhFCGivBG8yXp9wBRPNynb5A8kM45X1,2117585,1,1
other0,12FHk6GEBxqp4ph3iXDYnz6nxEJme9T1y8,20623039,1,1
15oZc5o3s4Q4YSnw4aFrwCbgV5y2gGENv3,1EhmHX94mHHqmSZi1LbdfHm7D7DMSVUwEg,3592221,1,1
other0,17mFbjbwudcYB5dHzVpNZ8skUaoM7yU5ra,2348625,1,1
other0,16sGyW2gTTsGJi5QmjpLT9dwn64xZuBRHZ,11942823,1,1
other0,1M3amqaUKEGDeQxZ4tVkLjYoLc39NTZxfV,8130000,1,1
